Дата;Идентификатор;ИдентификаторЖалобыТендера;Статус жалобы;ДатаПодачиТребованияЖалобыТендера;Тип методу закупівлі;КодОргЖалобыТендера;ОрганизацияЖалобыТендера;Уровень жалобы;Классификация лота CPV2;СтатусТендера;IDOrganizator;СуммаТендера
24.05.2017;UA-2017-05-24-001427-b;UA-2017-05-24-001427-b.b1;Удовлетворено;07.07.2017 17:29:37;Відкриті торги із публікацією англ. мовою;37202693;"ООО ""Лінк-Медитал""";На решение;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;unsuccessful;33769381;5136809.6
24.05.2017;UA-2017-05-24-001672-b;UA-2017-05-24-001672-b.b1;Удовлетворено;26.06.2017 16:15:45;Відкриті торги;39402603;"ООО ""Профи Инструмент""";На решение;14000000-1 Гірнича продукція, неблагородні метали та супутня продукція;unsuccessful;40123454;3237900
24.05.2017;UA-2017-05-24-000577-a;UA-2017-05-24-000577-a.b1;Не удовлетворено;02.06.2017 13:06:17;Відкриті торги;35018734;"ТОВ ""РАДІАЛ-УКРАЇНА""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;04062156;1689000
24.05.2017;UA-2017-05-24-000577-a;UA-2017-05-24-000577-a.b2;Не удовлетворено;07.07.2017 14:58:12;Відкриті торги;34327481;"ІП ""АІС-ПОЛТАВА""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;04062156;1689000
24.05.2017;UA-2017-05-24-001395-c;UA-2017-05-24-001395-c.b3;Удовлетворено;23.06.2017 15:05:57;Відкриті торги із публікацією англ. мовою;31512020;"ПРИВАТНЕ ПІДПРИЄМСТВО ""ТОРГОВИЙ ДІМ МАЗ""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;cancelled;31179046;8714000
24.05.2017;UA-2017-05-24-001566-b;UA-2017-05-24-001566-b.a1;Не удовлетворено;20.06.2017 16:50:18;Відкриті торги;35009379;ТОВ Термо - Ізол;На решение;"44000000-0 Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)";complete;34519280;2783000
18.07.2017;UA-2017-07-18-001650-b;UA-2017-07-18-001650-b.a1;Удовлетворено;15.09.2017 10:22:27;Відкриті торги із публікацією англ. мовою;38737726;ТОВ ТРАНС ЛОГІСТИК ЦЕНТР;На решение;55000000-0 Готельні, ресторанні послуги та послуги з роздрібної торгівлі;complete;03195429;27105501
18.07.2017;UA-2017-07-18-001321-b;UA-2017-07-18-001321-b.c2;Удовлетворено;18.08.2017 16:47:40;Відкриті торги;21748702;ТОВ Вуглеторфзбагачення;На решение;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;complete;40081221;2893000
18.07.2017;UA-2017-07-18-000989-b;UA-2017-07-18-000989-b.b1;Удовлетворено;23.08.2017 18:48:54;Відкриті торги;39782701;"ТОВ ""ЕНІК ЕНЕРДЖІ ГРУП""";На решение;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;unsuccessful;08029523;3720000
18.07.2017;UA-2017-07-18-000728-b;UA-2017-07-18-000728-b.b2;Удовлетворено;30.08.2017 14:19:45;Відкриті торги;37769914;ТОВ РКГруп;На решение;"44000000-0 Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)";cancelled;40081216;1699951.2
18.07.2017;UA-2017-07-18-000003-c;UA-2017-07-18-000003-c.b1;Удовлетворено;16.08.2017 12:39:36;Відкриті торги;37333587;"ТОВ ""КСМ-ТРЕЙД""";На решение;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;complete;00153133;1945440
18.07.2017;UA-2017-07-18-000792-a;UA-2017-07-18-000792-a.b1;Удовлетворено;18.08.2017 18:00:31;Відкриті торги;40220890;ТОВ Паливторг;На решение;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;complete;40081221;2893000
18.07.2017;UA-2017-07-18-000203-b;UA-2017-07-18-000203-b.b1;Не удовлетворено;01.09.2017 14:42:55;Відкриті торги;25004967;ТОВ Ексімтрейд;На решение;43000000-3 Гірничодобувне та будівельне обладнання;complete;40081389;3753960
18.07.2017;UA-2017-07-18-000489-c;UA-2017-07-18-000489-c.b3;Удовлетворено;18.08.2017 16:51:47;Відкриті торги;34501268;"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""КОМПАНІЯ ПРОМІНСТРУМЕНТ""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;unsuccessful;40081200;1540554.4
18.07.2017;UA-2017-07-18-000140-c;UA-2017-07-18-000140-c.c1;Не удовлетворено;28.07.2017 18:18:30;Відкриті торги;35018734;"ТОВ ""РАДІАЛ-УКРАЇНА""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;cancelled;02145079;1650000
23.05.2017;UA-2017-05-23-000119-b;UA-2017-05-23-000119-b.b1;Удовлетворено;06.07.2017 22:34:10;Відкриті торги;39879821;ТОВ Рейл Траст Україна;На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;unsuccessful;40081221;642000
23.05.2017;UA-2017-05-23-000750-c;UA-2017-05-23-000750-c.a3;Удовлетворено;24.07.2017 15:40:52;Переговорна процедура (для потреб оборони);2873807457;ФОП ДЖУР Д.А.;На решение;41000000-9 Зібрана дощова та очищена вода;cancelled;25574423;4888000
23.05.2017;UA-2017-05-23-000750-c;UA-2017-05-23-000750-c.c4;Не удовлетворено;26.07.2017 16:59:24;Переговорна процедура (для потреб оборони);40114864;"Товариство з обмеженою відповідальністю ""КАРИОТА""";На решение;41000000-9 Зібрана дощова та очищена вода;cancelled;25574423;4888000
23.05.2017;UA-2017-05-23-001769-b;UA-2017-05-23-001769-b.c2;Удовлетворено;11.07.2017 16:55:44;Відкриті торги із публікацією англ. мовою;200274482;"ОАО ""ДСТ № 4 г.Брест""";На решение;45000000-7 Будівельні роботи та поточний ремонт;cancelled;24718432;59668585
23.05.2017;UA-2017-05-23-001631-b;UA-2017-05-23-001631-b.b1;Удовлетворено;19.06.2017 14:21:12;Відкриті торги;39434914;"ООО ""УКРАЇНСЬКА ТОРГОВА КОМПАНІЯ №1""";На решение;15000000-8 Продукти харчування, напої, тютюн та супутня продукція;complete;24432282;325000
23.06.2017;UA-2017-06-23-000511-a;UA-2017-06-23-000511-a.a2;Не удовлетворено;13.09.2017 13:04:11;Відкриті торги;23742193;ПрАТ «ПВІ ЗІТ «Нафтогазбудізоляція»;На решение;45000000-7 Будівельні роботи та поточний ремонт;complete;04694614;39486730
23.06.2017;UA-2017-06-23-000560-a;UA-2017-06-23-000560-a.c2;Удовлетворено;19.07.2017 20:16:43;Відкриті торги із публікацією англ. мовою;33603690;"ТОВ ""Астріум""";На условия;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;complete;13972414;11500000
23.06.2017;UA-2017-06-23-000560-a;UA-2017-06-23-000560-a.a3;Не удовлетворено;06.09.2017 17:21:46;Відкриті торги із публікацією англ. мовою;34603398;"ТОВ ""ЗДРАВО""";На решение;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;complete;13972414;11500000
23.06.2017;UA-2017-06-23-002152-b;UA-2017-06-23-002152-b.c1;Удовлетворено;03.08.2017 11:48:41;Відкриті торги;40172575;ТОВ Лейд Груп;На решение;38000000-5 Лабораторне, оптичне та високоточне обладнання (крім лінз);complete;24584661;2280570
23.06.2017;UA-2017-06-23-000414-b;UA-2017-06-23-000414-b.c1;Удовлетворено;20.07.2017 18:55:10;Відкриті торги із публікацією англ. мовою;500059129;"ОАО ""ДСТ №6""";На условия;45000000-7 Будівельні роботи та поточний ремонт;complete;25879878;10508452
23.06.2017;UA-2017-06-23-000449-c;UA-2017-06-23-000449-c.b2;Удовлетворено;21.08.2017 22:26:01;Відкриті торги;20248512;"ТОВ ""ПІДПРИЄМСТВО БУДВИРОБИ""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;cancelled;40081200;597054
23.06.2017;UA-2017-06-23-000415-a;UA-2017-06-23-000415-a.a3;Удовлетворено;02.08.2017 14:25:41;Відкриті торги;32305529;ПП Інбудсервіс;На решение;45000000-7 Будівельні роботи та поточний ремонт;cancelled;38457747;29947526
23.06.2017;UA-2017-06-23-000415-a;UA-2017-06-23-000415-a.c4;Удовлетворено;03.08.2017 17:07:27;Відкриті торги;39217701;"ТОВ ""ТОРГОВИЙ ДІМ ""НТБ""";На решение;45000000-7 Будівельні роботи та поточний ремонт;cancelled;38457747;29947526
23.06.2017;UA-2017-06-23-001976-b;UA-2017-06-23-001976-b.c6;Удовлетворено;19.07.2017 17:51:40;Відкриті торги;14311749;"Приватне акціонерне товариство ""УХЛ-Маш""";На решение;39000000-2 Меблі (у тому числі офісні меблі), меблево-декоративні вироби, побутова техніка (крім освітлювального обладнання) та засоби для чищення;complete;21560045;3794000
23.06.2017;UA-2017-06-23-002357-b;UA-2017-06-23-002357-b.b1;Не удовлетворено;24.07.2017 17:49:00;Відкриті торги;39282608;"ООО ""СВІТЕКО""";На решение;"31000000-6 Електротехнічне устаткування, апаратура, обладнання та матеріали; освітлювальне устаткування";complete;37378937;1449600
23.06.2017;UA-2017-06-23-000413-b;UA-2017-06-23-000413-b.b3;Удовлетворено;29.07.2017 18:03:19;Відкриті торги;32977018;"ООО ""ВІННИЦЬКА БУДІВЕЛЬНА КОМПАНІЯ""";На решение;45000000-7 Будівельні роботи та поточний ремонт;cancelled;26614946;6942522
23.06.2017;UA-2017-06-23-000449-b;UA-2017-06-23-000449-b.b3;Удовлетворено;29.07.2017 18:10:00;Відкриті торги;32977018;"ООО ""ВІННИЦЬКА БУДІВЕЛЬНА КОМПАНІЯ""";На решение;45000000-7 Будівельні роботи та поточний ремонт;cancelled;26614946;6922054.8
22.05.2017;UA-2017-05-22-000949-b;UA-2017-05-22-000949-b.c3;Не удовлетворено;04.07.2017 12:58:00;Переговорна процедура (для потреб оборони);21582561;"ООО ""Торнадо""";На решение;35000000-4 Охоронне, протипожежне, поліцейське та оборонне обладнання;active.awarded;00034022;9120000
22.05.2017;UA-2017-05-22-000949-b;UA-2017-05-22-000949-b.b4;Удовлетворено;04.07.2017 18:34:04;Переговорна процедура (для потреб оборони);39830791;"ООО ""АБІТ-ТЕКС""";На решение;35000000-4 Охоронне, протипожежне, поліцейське та оборонне обладнання;active.awarded;00034022;9120000
22.05.2017;UA-2017-05-22-000949-b;UA-2017-05-22-000949-b.b7;Не удовлетворено;10.08.2017 18:42:01;Переговорна процедура (для потреб оборони);39830791;"ООО ""АБІТ-ТЕКС""";На решение;35000000-4 Охоронне, протипожежне, поліцейське та оборонне обладнання;active.awarded;00034022;9120000
22.05.2017;UA-2017-05-22-001287-b;UA-2017-05-22-001287-b.b1;Удовлетворено;17.07.2017 16:40:06;Відкриті торги із публікацією англ. мовою;40817365;"ТОВ ""БЕШТОР""";На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081389;7808886.48
22.05.2017;UA-2017-05-22-000313-c;UA-2017-05-22-000313-c.a1;Не удовлетворено;09.06.2017 14:07:24;Відкриті торги;40245187;"ТОВ ""ЛОРІГОН""";На условия;18000000-9 Одяг, взуття, сумки та аксесуари;complete;40081200;2856954.62
22.05.2017;UA-2017-05-22-000523-b;UA-2017-05-22-000523-b.b1;Не удовлетворено;06.07.2017 15:22:16;Відкриті торги;05808735;"ПАО ""АвтоКрАЗ""";На решение;50000000-5 Послуги з ремонту і технічного обслуговування;complete;08104621;1000000
22.05.2017;UA-2017-05-22-000108-a;UA-2017-05-22-000108-a.c2;Не удовлетворено;22.06.2017 12:41:32;Відкриті торги;41219179;"Товариство з обмеженою відповідальністю ""Прайм Офіс""";На решение;30000000-9 Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення;complete;05471247;280432
22.05.2017;UA-2017-05-22-001865-b;UA-2017-05-22-001865-b.a4;Не удовлетворено;17.06.2017 8:04:10;Відкриті торги із публікацією англ. мовою;31279430;ТОВ НВП «ES ПОЛІМЕР»;На условия;"44000000-0 Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)";unsuccessful;00131819;4500000
29.05.2017;UA-2017-05-29-000515-c;UA-2017-05-29-000515-c.b1;Удовлетворено;06.07.2017 13:27:53;Відкриті торги із публікацією англ. мовою;30373906;"ООО ""БЕЙКЕР ТІЛЛІ УКРАЇНА""";На решение;79000000-4 Ділові послуги: юридичні, маркетингові, консультаційні, кадрові, поліграфічні та охоронні;unsuccessful;14309787;4560000
29.05.2017;UA-2017-05-29-001778-b;UA-2017-05-29-001778-b.a2;Не удовлетворено;09.06.2017 15:08:01;Відкриті торги;40524874;ТОВ Київське міське бюро технічної інвентаризації;На условия;71000000-8 Архітектурні, будівельні, інженерні та інспекційні послуги;complete;37485490;1173400
29.05.2017;UA-2017-05-29-001778-b;UA-2017-05-29-001778-b.c3;Удовлетворено;13.07.2017 17:58:30;Відкриті торги;34184771;"Товариство З Обмеженою Відповідальністю ""Корунд Консалтінг""";На решение;71000000-8 Архітектурні, будівельні, інженерні та інспекційні послуги;complete;37485490;1173400
29.05.2017;UA-2017-05-29-001778-b;UA-2017-05-29-001778-b.a5;Не удовлетворено;14.08.2017 10:34:28;Відкриті торги;1916904550;Цыганок Иван Олександрович;На решение;71000000-8 Архітектурні, будівельні, інженерні та інспекційні послуги;complete;37485490;1173400
29.05.2017;UA-2017-05-29-001796-b;UA-2017-05-29-001796-b.a1;Не удовлетворено;17.07.2017 17:11:16;Відкриті торги із публікацією англ. мовою;38855401;"ТОВ ""УКРАТОМ СЕРВІС""";На решение;38000000-5 Лабораторне, оптичне та високоточне обладнання (крім лінз);complete;05425046;65131705
29.05.2017;UA-2017-05-29-001269-b;UA-2017-05-29-001269-b.b2;Не удовлетворено;31.07.2017 17:02:39;Відкриті торги із публікацією англ. мовою;32073242;"КП ""КМЦЗК та ПЗ""";На решение;71000000-8 Архітектурні, будівельні, інженерні та інспекційні послуги;complete;37498536;10271200
29.05.2017;UA-2017-05-29-001792-b;UA-2017-05-29-001792-b.b1;Удовлетворено;08.06.2017 17:26:39;Відкриті торги;41080763;"ТОВ ""ЧЕРНІГІВЕКОРЕСУРС""";На условия;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;complete;33965532;500000
29.05.2017;UA-2017-05-29-001792-b;UA-2017-05-29-001792-b.c2;Не удовлетворено;31.07.2017 17:47:24;Відкриті торги;41080763;"ТОВ ""ЧЕРНІГІВЕКОРЕСУРС""";На решение;09000000-3 Нафтопродукти, паливо, електроенергія та інші джерела енергії;complete;33965532;500000
29.05.2017;UA-2017-05-29-000779-c;UA-2017-05-29-000779-c.a2;Не удовлетворено;23.06.2017 14:47:34;Відкриті торги із публікацією англ. мовою;39215196;ТОВ Техноекотрейдінг;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081347;8270457.83
29.05.2017;UA-2017-05-29-000438-a;UA-2017-05-29-000438-a.a4;Удовлетворено;11.07.2017 15:54:04;Відкриті торги;39396481;"ТОВ ""НАВІГАТОР КОРПОРЕЙШН""";На решение;30000000-9 Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення;unsuccessful;40150237;3300000
29.05.2017;UA-2017-05-29-002170-b;UA-2017-05-29-002170-b.c1;Удовлетворено;13.07.2017 15:20:01;Відкриті торги;40926020;"ТОВ""БЕНІШ ДЖІ ПІ ЕС""";На решение;72000000-5 Послуги у сфері інформаційних технологій: консультування, розробка програмного забезпечення, послуги мережі Інтернет і послуги з підтримки;unsuccessful;21560045;3840000
29.05.2017;UA-2017-05-29-000587-a;UA-2017-05-29-000587-a.a1;Удовлетворено;30.06.2017 16:48:17;Відкриті торги;07646544;Кiровоградський Ремонтний Завод Державне Пiдприємство;На решение;50000000-5 Послуги з ремонту і технічного обслуговування;unsuccessful;07699476;800000
29.05.2017;UA-2017-05-29-001043-b;UA-2017-05-29-001043-b.c2;Не удовлетворено;14.07.2017 17:51:51;Відкриті торги;3290517451;Фізична-особа підприємець Байда Мирослав Олександрович;На решение;90000000-7 Послуги у сферах поводження зі стічними водами та сміттям, послуги у сферах санітарії та охорони довкілля;complete;05410576;500000
29.05.2017;UA-2017-05-29-000164-c;UA-2017-05-29-000164-c.c1;Удовлетворено;08.06.2017 19:45:14;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000167-c;UA-2017-05-29-000167-c.a1;Удовлетворено;08.06.2017 19:49:13;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000120-a;UA-2017-05-29-000120-a.c1;Удовлетворено;08.06.2017 19:31:04;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000127-a;UA-2017-05-29-000127-a.b1;Удовлетворено;08.06.2017 19:36:06;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000128-a;UA-2017-05-29-000128-a.c1;Удовлетворено;08.06.2017 19:40:37;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000185-c;UA-2017-05-29-000185-c.a1;Удовлетворено;08.06.2017 19:54:06;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000280-b;UA-2017-05-29-000280-b.a1;Удовлетворено;08.06.2017 19:58:40;Відкриті торги;36259618;ТОВ МАКСМЕД ІНТЕРНЕШНЛ;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;40081305;3643200
29.05.2017;UA-2017-05-29-000197-a;UA-2017-05-29-000197-a.c5;Не удовлетворено;04.07.2017 16:01:55;Відкриті торги;30574751;Товариство з обмеженою відповідальністю;На решение;30000000-9 Офісна та комп’ютерна техніка, устаткування та приладдя, крім меблів та пакетів програмного забезпечення;complete;00013480;2100000
29.05.2017;UA-2017-05-29-001295-b;UA-2017-05-29-001295-b.c3;Удовлетворено;09.06.2017 17:34:10;Відкриті торги;39580810;ТОВ УКРФАРМГРУП;На условия;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;complete;01992156;1300000
29.05.2017;UA-2017-05-29-001377-b;UA-2017-05-29-001377-b.a1;Удовлетворено;23.06.2017 14:46:23;Відкриті торги;31965106;КСЭ;На решение;42000000-6 Промислова техніка;unsuccessful;03341305;3800000
29.05.2017;UA-2017-05-29-001998-b;UA-2017-05-29-001998-b.b1;Удовлетворено;01.06.2017 16:14:44;Переговорна процедура (для потреб оборони);31778043;"ООО ""НАУКОВО ВИРОБНИЧЕ ПІДПРИЄМСТВО ""ТЕМП-3000""";На условия;18000000-9 Одяг, взуття, сумки та аксесуари;complete;08104621;2331000
29.05.2017;UA-2017-05-29-000855-b;UA-2017-05-29-000855-b.a1;Не удовлетворено;09.06.2017 19:01:27;Відкриті торги;33363225;ТОВ Медікал Б.БН;На условия;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;unsuccessful;07773293;1281836.46
14.07.2017;UA-2017-07-14-001330-b;UA-2017-07-14-001330-b.c1;Удовлетворено;08.09.2017 10:53:51;Відкриті торги із публікацією англ. мовою;37202693;"ООО ""Лінк-Медитал""";На решение;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;cancelled;33769381;10174394.88
14.07.2017;UA-2017-07-14-001536-b;UA-2017-07-14-001536-b.c1;Удовлетворено;08.09.2017 11:04:42;Відкриті торги із публікацією англ. мовою;37202693;"ООО ""Лінк-Медитал""";На решение;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;cancelled;33769381;5136809.6
14.07.2017;UA-2017-07-14-000859-c;UA-2017-07-14-000859-c.a1;Удовлетворено;21.08.2017 17:01:51;Відкриті торги;39270330;НТП Трансінвест;На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;cancelled;40081195;639999.96
14.07.2017;UA-2017-07-14-000859-c;UA-2017-07-14-000859-c.a2;Удовлетворено;20.09.2017 16:06:18;Відкриті торги;39270330;НТП Трансінвест;На решение;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;cancelled;40081195;639999.96
14.07.2017;UA-2017-07-14-001433-b;UA-2017-07-14-001433-b.a3;Удовлетворено;14.08.2017 14:08:12;Відкриті торги;31169661;Товариство з обмеженою відповідальністю;На решение;79000000-4 Ділові послуги: юридичні, маркетингові, консультаційні, кадрові, поліграфічні та охоронні;complete;02070987;900000
14.07.2017;UA-2017-07-14-001888-b;UA-2017-07-14-001888-b.b4;Удовлетворено;09.08.2017 19:37:56;Відкриті торги із публікацією англ. мовою;40703481;"ООО ""ТД АЛЬТРЕКС""";На условия;42000000-6 Промислова техніка;cancelled;01125815;8488000
14.07.2017;UA-2017-07-14-001755-b;UA-2017-07-14-001755-b.c4;Удовлетворено;08.08.2017 15:57:24;Відкриті торги із публікацією англ. мовою;36049014;"ТОВ ""ІЛАЙФ""";На условия;72000000-5 Послуги у сфері інформаційних технологій: консультування, розробка програмного забезпечення, послуги мережі Інтернет і послуги з підтримки;cancelled;40429588;5000000
14.07.2017;UA-2017-07-14-000010-a;UA-2017-07-14-000010-a.c4;Удовлетворено;08.09.2017 16:43:47;Відкриті торги із публікацією англ. мовою;32837895;Iнтерхiм Бтв;На решение;"44000000-0 Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)";cancelled;00156630;7090429.83
14.07.2017;UA-2017-07-14-000232-c;UA-2017-07-14-000232-c.a4;Не удовлетворено;26.07.2017 16:54:33;Відкриті торги;39270330;НТП Трансінвест;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;unsuccessful;40081221;795130
14.07.2017;UA-2017-07-14-000008-b;UA-2017-07-14-000008-b.b1;Не удовлетворено;25.07.2017 18:09:41;Відкриті торги;35018734;"ТОВ ""РАДІАЛ-УКРАЇНА""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;04370350;1650000
14.07.2017;UA-2017-07-14-001587-b;UA-2017-07-14-001587-b.b2;Не удовлетворено;25.07.2017 17:55:55;Відкриті торги;35018734;"ТОВ ""РАДІАЛ-УКРАЇНА""";На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;complete;25320266;1700000
14.07.2017;UA-2017-07-14-000730-c;UA-2017-07-14-000730-c.c1;Удовлетворено;26.07.2017 17:28:12;Відкриті торги;39091252;ТОВ ЧЕРНІВЦІФАРМАЦІЯ;На условия;33000000-0 Медичне обладнання, фармацевтична продукція та засоби особистої гігієни;complete;01985423;1357512
14.07.2017;UA-2017-07-14-000289-a;UA-2017-07-14-000289-a.b10;Удовлетворено;03.08.2017 11:39:38;Переговорна процедура (для потреб оборони);31489416;"ТОВ ""ТАЛЄН-2001""";На решение;15000000-8 Продукти харчування, напої, тютюн та супутня продукція;complete;23311530;1467200
14.07.2017;UA-2017-07-14-000290-c;UA-2017-07-14-000290-c.b5;Не удовлетворено;27.07.2017 14:36:52;Відкриті торги;39270330;НТП Трансінвест;На условия;34000000-7 Транспортне обладнання та допоміжне приладдя до нього;unsuccessful;40081221;1173751.5
12.07.2017;UA-2017-07-12-000011-a;UA-2017-07-12-000011-a.a2;Удовлетворено;26.08.2017 17:31:21;Відкриті торги із публікацією англ. мовою;39379439;"ТОВ ""ФІНКО ГРУП""";На решение;"44000000-0 Конструкції та конструкційні матеріали; допоміжна будівельна продукція (крім електроапаратури)";complete;40081221;13384062
